,ZNF518B,ERCC-00130,GYPB,PIK3R5,GLIPR2,WNT5A,PENK,CRHBP,SEMA3E,CCDC81,ERCC-00022,TP53INP1,RHOBTB3,ALPK2,DNAJB14,ITGA5,PDLIM3,PCDH7,PMP22,DLC1,CLDN11,CER1,HAPLN1,COL5A2,PTPRZ1,PLOD2,ERCC-00046,AMIGO2,FAM46A,TMEM47,STC1,PDCD4,NUP35,POLR3G,PHLDA1,NANOG,GNG11,GPR83,VIM,SNX14,CD48,ACOX3,SERHL2,ERCC-00092,ST8SIA4,ERCC-00003,PRTG,SEMA3A,BMP2,GABRB2,PLXNA2,CALB1,CYP26A1,LIFR,MYCT1,BMP4,PMAIP1,ERCC-00136,SLC6A15,CDH11,ERCC-00002,ERCC-00096,ARL4D,ERCC-00060,ST8SIA1,ERCC-00043,LUM,NFIB,KLHL4,FLRT3,CPE,RFPL2,RGS5,ERCC-00171,CYP1B1,C12ORF23,IGDCC4,HLA-DRB1,DKK4,CLGN,ERCC-00042,TTK,OTX2,ERCC-00111,RNF13,MFAP4,APOBEC3G,SFRP1,GATA6,NIPSNAP3A,COL4A1,ERCC-00062,KIF23,ELMOD2,QPCT,SYNC,TRDN,ERCC-00009,VAMP7,ANGPT2,TSPAN12,IFI16,ERCC-00074,GYPE,COBLL1,AK4,NCAPG,USP44,SH3BGRL,B4GALT4,FREM1,ESRP1,ERCC-00145,ERCC-00095,APLNR,PROM1,RND3,CHL1,DDAH1,ERCC-00108,LRRCC1,CD9,LHX1,MCCC1,DKK1,GATM,BTBD10,NXT2,RHAG,ABCA1,ACTC1,ELL2,EPCAM,PIP4K2A,CCKBR,ERBB4,ATG4C,TDRD7,B3GNT5,BMPER,HAS2,ERCC-00004,COLEC12,ASNS,ENC1,NRP1,CA2,PRDM1,SFRP2,PELI2,NDC80,ERCC-00113,ALG6,CAMK2D,TIPIN,TFPI,LEPREL1
H9_00hb4s_001,7.687037839158231,12.4820243925874,0.0,0.0,0.0,6.532633576991861,4.71396576758875,0.0,0.0,0.0,6.1106670236917005,4.17197835823427,3.10481093825065,0.0,6.586595612101692,0.0,0.0,0.0,0.0,0.0,6.285889162677928,0.0,0.0,0.0,7.9159602946469105,4.807673476628941,11.9095810324256,0.0,4.7771089062498096,6.3783855824597095,1.12047263294329,6.317561842526151,8.60387522057484,9.876839940073461,6.5220739759778885,7.884118420216058,0.0,1.65208807484128,0.0,6.486243456079191,2.17713506162336,0.0,0.7084593818239059,6.909046543564512,2.3876177681723902,9.85955753459393,1.97653033298892,8.5819394509837,0.0,0.0,0.0,8.59861912419075,2.17713506162336,0.0,0.666384796453672,0.0,8.167508424725469,10.0176994747117,8.83042177582074,0.0,11.956279166684599,12.5838156772399,0.0,6.07354492771821,2.35983604833764,8.991166823585472,0.0,6.688735594536671,5.60152912679532,0.0,0.0,0.0,2.17713506162336,9.178508546744268,5.435313475499389,0.0,8.590929561599,5.13139499815254,0.0,0.0,8.70670695411966,8.91753178761382,5.8419914848913095,6.51431173515922,4.7771089062498096,0.666384796453672,0.0,7.65247222889745,0.0,7.024142420649,4.7771089062498096,4.74588276142474,6.90198153615399,1.12047263294329,5.2474235909296905,6.55721603288343,0.0,8.636165912946339,7.094003841885018,2.2748802832681,0.666384796453672,0.0,14.2713213824667,1.50168052039761,0.0,10.6299417624367,7.2517653116023215,7.7540542651481905,7.487502692723888,6.54184433851834,0.0,8.7130584097494,7.51104971520914,5.82714931839074,0.0,9.148734505237359,8.87495891275002,0.0,9.49457678261745,8.61039143690768,6.7528897373587,6.1228722961272695,0.0,0.0,0.0,2.17713506162336,7.00527853975126,2.35322068344373,0.0,6.80684199932755,0.0,5.17893196051104,9.22306906080049,10.042912821351699,0.0,0.0,4.3486574170074395,0.0,0.0,0.0,7.00448716661664,11.848239961505499,0.0,7.42287955587314,0.0,0.0,4.96726779734365,0.0,7.693926312790508,5.49249667245621,8.16151586201167,9.639670646003779,7.47341655555495,2.51013340184119,5.99590800649099,1.2789547353397601,5.36162534282788
H9_00hb4s_002,0.0,12.832838274097199,0.0,0.0,0.0,2.09013080690396,0.0,0.0,0.0,0.0,6.77246726529019,3.0583511725888504,6.246461122437902,0.0,5.75329257522643,1.39447758474073,0.0,0.0,0.0,0.0,6.035342570943719,0.0,0.0,0.0,7.22927455399984,0.0,12.1120630083705,0.0,0.0,6.04782922199834,5.23461632087683,6.21864634949854,7.49331646618953,10.4252214733971,5.34367484587185,8.56410764637024,0.859545573327775,1.9359120682942599,4.62173155287108,0.0,0.0,0.0,0.0,6.613554287692421,0.0,9.025602748821312,0.0,8.58114362020411,0.0,0.0,0.0,6.70649283855932,2.7444338556959,5.29572061902839,0.0,0.0,8.29667538407749,10.073784239055001,8.19268278558977,0.0,12.2477250001653,13.0536784758409,3.3160202408632005,7.320313220201499,2.59686204906826,9.251261358679251,0.0,5.77491358028425,5.3367133899877,0.0,2.3426495921756603,0.0,0.0,9.83727252178508,0.0,6.16708896646382,8.18066488836091,4.70922865276063,0.0,0.0,8.63533823188753,6.601504425751259,0.0,7.0722402151404,7.07258943493553,0.0,0.0,8.96582928820262,0.0,0.0,1.78383381158948,6.029957887246491,6.6255043383177314,6.50052272808828,0.0,9.35143603403382,0.0,8.76793683939135,5.32268888685306,3.7507501649866803,7.36376511148942,0.0,14.6484803546539,0.0,0.859545573327775,10.4857035062598,7.26790782854907,9.31537259913628,6.43494512906147,0.0,0.0,7.96709254828907,8.008747984593201,7.2755118718224585,0.0,6.7616789191652,9.70001660215134,0.0,8.44518490403373,9.35727035115282,6.2466158801886,7.1895782036611795,0.0,5.56756374349853,0.0,0.0,7.88491978829459,5.51713923043742,0.0,0.0,0.0,5.75329257522643,8.36651693612474,10.276114126356902,0.0,0.0,6.783175535545388,0.0,7.65362475761657,0.0,0.0,12.2142165140139,0.0,7.641906316492069,0.0,0.0,3.53456802488994,0.0,8.16429256346614,0.0,7.98111175620628,9.785048555622,8.696094968455759,8.23229496474436,5.35434170755312,0.7864921123528079,0.0
H9_00hb4s_003,6.8195762725817515,12.403902216359198,0.0,0.0,0.0,2.24999303541108,0.0,0.0,1.99382054898403,0.0,5.7839280240581,0.0,6.11115468079976,0.0,0.0,5.29716999116667,0.0,0.0,0.0,0.0,1.2705641447279499,0.0,2.64605380451455,1.70225118154831,7.8652419576535895,0.0,12.0118341061746,0.0,0.0,7.83707542870273,5.93331032208841,7.64400426028738,8.75582652123064,9.735941675324767,5.5417960005332985,8.229561110790861,5.21199855862749,0.0,4.60242089541501,0.0,0.0,0.0,0.0,6.95679106270028,1.9298252703753305,9.770433127062429,0.0,8.90112104886046,4.60242089541501,0.0,0.0,4.92139266810514,0.0,0.0,0.8022738718402851,0.0,9.0740733335659,9.79499649644676,7.6172019232474995,0.0,12.1683199723863,12.539191059598696,4.461928648915031,7.121538099487059,3.05758382893537,9.87220687833641,0.0,0.0,0.808476572334269,0.0,3.783785460024721,0.0,6.466192325909572,9.422572191322061,0.0,7.30409545654307,8.229705560525732,2.93961899794645,0.0,0.0,8.68911001257027,9.29030671426231,2.80959735124034,6.8195762725817515,0.808476572334269,0.0,0.0,9.326634740552883,0.0,2.80959735124034,1.3234981612151002,6.36013596156554,8.21620947768809,7.45381200645258,0.0,7.82808785781017,1.3234981612151002,8.51337283157904,0.0,0.0,6.019383753572379,4.510295587065428,14.8133066048406,0.0,0.0,9.64230597730151,8.56860587108137,8.560072593477269,8.4558790063658,0.808476572334269,0.0,7.4034798006939,7.508413003180069,5.32447858568704,0.0,7.718565388705361,8.50656352888838,0.0,9.87785172046268,8.088742436599249,0.808476572334269,7.182506894796469,0.0,0.0,0.0,5.84177396618799,6.866779540105151,8.41520975973628,0.0,4.5570934651287,3.00589216094752,1.70225118154831,8.81959365718246,9.83537641927593,2.00196231607317,0.0,7.526163581154469,0.0,0.0,0.0,0.0,12.2097928361114,0.0,7.097756345395429,2.24999303541108,0.0,0.0,0.0,8.10458198753162,4.00245247832944,5.82274853451435,9.446881579636267,8.57436160374913,6.96999414324144,5.32447858568704,0.0,3.4286374505235098
H9_00hb4s_004,2.62902789544931,13.3441869795666,0.0,0.0,4.259371633093419,0.0,0.0,0.0,0.0,0.0,6.499209013591662,0.0,6.43212563073409,0.0,7.62949921322757,6.925721764647322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28970692793396,7.4166491167591,5.61386563154029,12.2643799210209,0.0,0.0,4.35387645333235,5.89101850126074,4.59197840528474,7.266689709768518,9.98508403297069,4.4339415071383605,8.320625384631692,0.0,0.0,0.0,4.44256942401142,0.0,2.28970692793396,0.0,6.878811547386428,2.50929343503483,9.803031150347222,2.62902789544931,3.50743701311767,4.259371633093419,0.0,0.0,7.5711884170850015,0.0,2.28970692793396,0.0,0.0,8.66361162783275,10.708463812664501,8.34481819852324,0.0,12.7548381464203,13.220494343308802,0.0,7.542279168400659,3.3945794047200297,10.088499992366401,0.0,5.65156430808862,5.859149438538481,0.0,5.40900806144207,0.0,0.0,10.1056290596221,0.0,6.3235119757897005,6.5599448876469015,4.26034799096932,0.0,0.0,9.17804001165739,8.3451058328718,0.0,7.738968440766982,5.65156430808862,0.0,0.0,8.67738354423972,0.0,6.31531432962214,5.57515536840197,5.36429927159401,4.88379169652887,6.435803422305678,0.0,8.556302982621268,0.0,9.09153980301476,3.93184833866423,0.0,6.47838191459749,0.0,14.738348268914,2.81328455931018,0.0,10.218287811230802,6.95616871809062,8.18696131665475,7.68545361411152,3.50743701311767,0.0,3.93184833866423,7.807367051946678,6.97115457684374,0.0,7.438272079637572,8.098419480404019,0.0,6.89508991288211,9.12542563295029,3.1340788759199203,7.0994516560117615,0.0,5.11726229469651,0.0,3.3328021594573096,0.0,5.36429927159401,0.0,6.59905992381662,0.0,1.19945096709679,7.27878569233605,9.32082635481744,1.19945096709679,0.0,0.0,0.0,3.663196948930589,0.0,2.62902789544931,12.304050479035899,0.0,8.33558348897835,0.0,1.84520706640064,0.0,0.0,6.9859863703686,5.17016982190213,7.38331453886073,10.4282492047015,5.9221987660591395,5.27049735043983,7.07191092803861,0.0,0.0
H9_00hb4s_005,3.67138456365855,12.442660608944099,0.0,0.0,0.0,6.35410593739447,0.0,0.0,0.0,0.0,5.81380295338804,6.5474847622326,2.7818441698619103,0.0,6.679032207258,0.0,0.0,0.0,5.17881086758907,0.0,1.3835970073489299,0.0,5.00353937747675,0.0,7.85615672517984,6.341874238699122,11.777347016263,0.0,0.0,7.55052835403911,3.9545078739343302,5.403057096952031,7.0840732984320995,10.0365334961242,7.417152749608119,7.768077738660799,0.0,1.57634033966077,0.0,1.2517319443214299,0.0,2.70599666219428,0.92434794564937,7.076637200736389,3.12682732274408,9.483873918927491,6.087285756754008,8.95031189802442,0.0,0.0,0.0,6.7086747799119495,4.69281113434594,0.0,0.0,0.0,9.0926875161705,10.0485600951554,5.056896248649731,0.0,12.0953892031799,12.6540596492855,2.99055451582778,6.79186817178486,3.3841864332168696,9.892972001764461,0.0,6.26622278069679,6.42886882052598,0.0,2.1548352897406997,0.0,5.23835584396363,9.343200895998859,0.0,0.7575657397898149,8.04922211400255,3.061493306757149,0.0,0.0,8.416342379314111,7.21719212502818,6.087285756754008,6.6101239922494015,6.5152782326102985,0.0,0.0,9.11605735958368,0.0,4.65376205457566,3.41533932748385,5.2328022234983615,7.41230605749578,6.79195809129315,4.61362656910214,8.20914108420935,0.0,8.6740796076467,3.31878867828889,1.98401339500291,6.226855480000429,0.0,14.4213294935976,1.2517319443214299,0.0,10.1107884026164,7.3267604605022685,9.016681737227419,8.03375477871592,0.0,0.0,7.662957398475831,7.910837345454349,5.5629318713925,0.0,6.72760210315407,9.14242614087056,0.0,8.535977829063011,8.441695416111031,5.98087541162249,8.06385528977024,0.0,0.0,0.0,0.0,6.29188324285772,4.4860516747340595,0.0,2.98301292841985,0.8378016621059721,6.087285756754008,6.97733768440064,9.88842721029381,4.07763771558067,0.0,6.904355529521659,0.0,0.0,0.0,0.0,11.9502979012695,2.54459647591396,8.28760461630072,0.0,0.0,0.0,0.0,8.441552127543611,7.90523718363501,3.10383190827799,9.466486745856713,6.45976088263909,6.79195809129315,6.35410593739447,0.0,0.0
H9_00hb4s_006,7.259811875846291,12.229262206396804,0.0,0.0,0.0,0.0,0.0,0.0,0.832446965749608,0.0,6.6035053388674605,7.32654132843331,5.486730951729982,0.0,5.46183212121599,4.577892595826401,0.0,0.0,0.0,0.0,4.64927698193339,0.0,0.0,0.0,7.7662797883604515,4.76806654831112,11.3836137435231,0.0,0.0,3.9196659227011503,4.1656419161813085,5.742254240110741,8.05620326720871,10.4842785873831,3.7019265855153596,8.437866177376259,0.0,1.83358062548671,0.0,0.0,0.0,4.577892595826401,0.0,5.91230854577171,1.9835161961983303,8.53854082754099,0.0,8.234419257082731,2.12601451415626,0.0,0.0,5.87969866238801,0.0,3.71307527000397,0.86479767546222,0.0,9.16932120096445,8.90136281651757,8.03414810510626,0.0,11.706832384873,12.3061021583981,0.0,6.40010180510906,2.55731802384638,9.295205363958079,0.0,4.04259683143631,6.50805477050964,0.0,2.12601451415626,0.0,0.0,8.837020712195981,1.23022746957001,6.7771468133463,6.3794908373084285,5.94813461960901,0.0,0.0,7.7528378418748,8.18856209383378,6.9560873148898805,7.26468198608093,7.92611720491343,0.0,0.0,9.03508153258303,0.0,0.0,0.0,5.39417843068846,5.322952877695308,7.616003027085,0.0,7.49473399897018,2.5137785464122597,8.89119435199433,7.5553524177838804,5.54383420802678,6.48926393822567,0.0,14.175418297684601,1.24668812504037,0.0,10.1280469517536,7.4409871056548,8.66651856903549,8.58317422354264,6.552695900589,0.0,7.87781122962251,6.82520457547141,6.122010604803702,0.0,8.12390004194666,5.8606087134159015,0.0,8.47195572454799,8.06348069280001,4.731984519415,7.45931004996642,0.0,5.54736814621655,0.0,3.85403532487414,0.0,7.70710470060624,0.0,2.12601451415626,3.65104958003718,0.0,7.77073274897551,9.594477042599367,4.69497687402792,0.0,6.456470485011669,5.11482484257221,6.353365395298929,0.0,0.0,11.402922589772,0.0,8.54632736177696,3.38159879034954,0.0,0.0,0.0,8.25210687497167,6.69068279144524,6.85905515745914,8.76519599663287,6.15971197998631,7.2197916940662585,6.456470485011669,1.23022746957001,1.23022746957001
H9_00hb4s_007,0.0,12.5472008824471,0.0,0.0,0.0,1.74693541387418,0.0,0.0,0.0,0.0,4.95133952846262,2.35720979845969,3.66203773251918,0.0,1.9802302090077002,0.0,0.0,0.0,0.0,0.0,1.5863953670693702,0.0,0.0,0.0,7.437843388901651,4.31118238802395,11.771047612015,0.0,6.27769783905462,6.42344603407228,4.31118238802395,6.53277285284735,7.8721415935031,9.76267057212264,7.39192544567268,8.20010973173618,0.0,1.9231077981271398,1.12315241703146,0.0,0.0,2.51422241047732,0.0,6.5301083827171515,2.8778675366257,9.40847567841359,0.0,9.05141671005814,0.0,0.0,0.0,4.5834812213393,0.0,6.98947946352057,0.0,0.0,9.32497491098359,9.99957523782085,6.72932822730996,0.0,11.9284878183306,12.7317916840312,0.0,6.37306659493945,2.27706286060844,7.85388851250291,0.0,7.4299297733720815,6.24445390094805,0.0,0.0,0.0,1.12315241703146,9.45759381254085,0.0,6.6853289237161695,6.66033898972906,3.3565901308110804,0.0,0.0,8.010404254111391,8.40116266599562,3.86290536826473,6.90689827040666,7.6549619853853885,0.0,0.0,9.09269318209556,0.0,5.459601492349958,5.4787871950711216,4.71873528424529,0.668220873458704,7.01598846488896,0.668220873458704,7.193062607054402,0.0,9.35644673190501,7.76681537974788,0.0,6.749847895838469,0.0,14.241138123865197,0.8347266292522528,0.0,9.1702271830101,8.52113155357304,8.70749140628294,8.00379694510653,0.0,0.0,7.52436088463939,7.65929892698249,6.1323706827815405,0.0,9.33687880071566,8.72390634826397,0.0,6.86361866017094,8.6643405865361,4.39436393932819,7.88944992404263,0.0,5.755424042297139,0.0,0.668220873458704,0.0,6.29944237349766,0.0,0.0,3.86290536826473,3.382085235242529,9.2237322908772,9.28429345333402,4.71873528424529,0.0,6.9617244038554595,0.0,0.0,0.0,0.0,11.798225954949698,0.0,9.23336637426104,1.468497932721,0.0,2.18099833794101,0.0,8.28691836139249,0.0,8.51668291719221,9.784190580024472,6.17522292189144,2.35720979845969,5.93285090388882,0.263392755858987,0.0
H9_00hb4s_008,2.45934937577581,12.903490850834599,0.0,0.0,5.343309778546719,8.788830065788622,0.0,0.0,0.0,0.0,6.4933557969208,7.139492472557559,3.0745880980916103,0.0,4.43952725026518,0.0,0.0,0.0,0.0,0.0,5.548369079378119,0.0,0.0,1.4853622081737599,9.341974303198839,4.71139822371838,11.598633176421401,0.0,6.9365382399101785,7.4997459227702,3.4461649324816,7.0151257258114805,7.10633228761325,8.58987290697556,6.79686146572581,6.77533290267841,0.0,0.0,0.0,7.16178786466467,0.0,0.0,0.0,7.64951543998718,1.75139305658476,9.5027493197965,0.9259518048394292,7.11572418249906,0.0,0.0,0.0,0.0,4.8072579924774805,0.9259518048394292,0.9259518048394292,0.0,8.24047651307384,10.2865543458614,8.57959280650612,0.0,12.5379666633812,13.093574044312101,0.0,6.669494218956032,2.64515606115124,8.68429770829208,0.0,0.0,8.13381265241048,0.0,2.2015551941822404,0.0,0.0,9.915480237678473,0.0,0.0,7.64537108640118,2.5858401998752703,0.0,7.058433204624231,8.06275551144446,8.9751973992336,6.464242151499,8.34838452294222,7.81432217344834,3.76544161806554,0.0,9.385330667807679,0.0,6.59086176442428,5.73325571045662,5.87272995525705,8.21906833809862,4.852900546230611,0.9259518048394292,6.073078533018348,0.0,8.57278941270988,7.6751513581569695,2.3023851451983397,0.0,0.0,14.0637843433342,2.46170819018302,0.0,9.110275956730161,8.29038871514232,8.90556648143452,6.967991035256278,0.0,0.0,7.64277480671278,7.998208223794,6.25917327966056,0.0,7.07778408881356,0.0,0.0,8.53657048366875,9.04070992896508,0.0,7.348707907023281,0.0,0.0,0.0,6.15370622823128,0.0,0.9259518048394292,0.0,7.66239034038985,0.0,0.9259518048394292,7.79118005722044,8.93565407140679,5.2440280759185995,0.0,8.21041531962065,0.0,2.2015551941822404,0.0,2.86780971453751,11.7941378703139,0.0,8.32812591186467,0.0,0.0,4.31460105737446,0.0,8.253510961625741,7.64277480671278,0.0,10.171076365146199,6.41943954616001,5.80467765653325,5.17346947807163,0.0,0.9259518048394292
H9_00hb4s_009,6.13711445849053,12.7813050997488,0.0,0.0,1.56286265209791,0.0,0.0,0.0,5.51464476003937,0.0,5.660023094288699,0.0,4.97675586152743,0.0,7.29784792717697,1.56286265209791,0.0,0.0,0.0,0.0,6.011188976070678,0.0,0.0,6.30698752396678,8.22892646458773,2.77887814814676,11.491397530448596,4.87473428568729,0.0,7.66732352513013,6.21509236947778,6.15384308394871,6.9893487158777585,10.0416037704991,3.10804597296983,9.32566614747375,0.9834569321740579,1.5771076934171,0.0,6.55203509921641,0.0,5.42691849111496,0.0,5.2155351235595395,1.89018862476911,9.31124721019672,6.30698752396678,9.70294348097262,0.0,0.0,4.77527870191887,8.62233617048544,0.0,0.0,0.9834569321740579,0.0,8.90048146352851,9.89156910379765,7.252339968802628,0.0,12.2252271506691,12.8961585429166,0.0,6.944269045804582,3.43573980715379,9.431192842667867,0.0,1.56286265209791,7.848529322555339,0.0,0.9834569321740579,0.0,0.0,9.296391257795062,0.0,6.13711445849053,7.30677976140393,4.54405015940452,0.0,2.55728438564946,8.78378023216204,9.397829508656,0.0,7.26155712451434,6.50624271890921,0.0,0.0,9.583313694278619,0.0,7.07549035006642,4.55308648558909,5.28949143570917,8.68447835079532,6.30698752396678,7.064999756588088,0.0,0.0,8.50980536138925,5.84993549254189,2.03825629334435,5.64178515890839,0.0,14.2195694485074,0.976308969963894,0.0,10.4267921378161,8.974319285331859,8.69482388479213,7.83080491817887,3.87585513824864,0.0,7.80607275453162,7.36780058860621,7.04378691047637,0.0,8.4785668492001,8.494290201748031,0.0,9.14934806237234,9.024722714854027,5.491015580164289,7.33324819498702,0.0,5.639807251298588,0.0,5.82528327214259,0.0,7.359239760653138,0.0,6.9893487158777585,0.0,6.21831485831553,7.96843040492073,9.006527514272381,0.9834569321740579,0.0,7.11670614216712,0.0,4.87473428568729,0.0,0.0,11.5683968197664,0.0,8.69472181654097,0.0,0.0,5.01257267582234,0.0,8.2476009790707,7.45072580258772,8.41802925982188,9.93970653906216,7.434517700230138,0.0,5.639807251298588,0.0,0.0
H9_00hb4s_010,5.15517690641946,12.753405844918197,0.916895227740085,0.0,0.0,5.960587989147201,0.0,0.0,0.0,0.0,5.22500786992805,0.0,3.09864972929314,0.0,4.83438150948508,0.0,3.92683095845895,0.0,0.0,0.0,0.0,0.0,0.0,5.32459820095027,7.487892049269849,6.24023815350312,10.9899204074701,0.0,6.55834433537482,7.8737919780975,6.44527361663604,4.36886446633511,7.502025712599419,9.3988040022999,7.141647096523942,8.46872285082438,0.0,0.9636302659419159,0.0,0.916895227740085,0.0,0.0,2.66181487307186,7.16075519533222,2.58489244524936,9.04576060241243,6.8524752733231615,9.125914431745802,0.0,0.0,0.0,8.48737070189115,0.0,0.916895227740085,0.0,0.0,9.21923506985058,9.99254249105801,6.25708712850278,0.0,12.2563587659932,12.899210144384801,0.916895227740085,6.749074653286329,2.24448551230785,9.78687907999314,0.0,0.0,7.2252802002358605,0.0,0.0,0.0,2.8512661194244395,9.350556972054699,0.0,0.0,7.0490977424508605,3.50520960301004,0.0,0.0,8.058133916218509,6.959290639698301,5.22535038145444,7.636875737833611,6.35424660233696,4.58231715100876,0.0,8.4837963643997,0.0,5.25450627132446,4.9215112965847405,3.8400316978627598,8.024086557716121,7.27269747722528,0.0,6.59392644556041,1.87347586949267,7.92091689058455,0.0,2.07847772429032,5.63930813175384,0.0,13.763352397822402,1.4213769205341598,0.0,10.002681078181599,7.947992988443708,9.048110146569279,8.12390895557362,6.94719410682907,0.0,8.46579062423975,7.66239659334658,4.74164947353942,0.0,7.13719436040462,7.115276714145559,0.0,8.70561296674716,9.10046639838177,3.3045807193683396,7.38426504922986,0.0,5.11876724548007,0.0,0.916895227740085,5.939867015919759,7.45168384927208,0.0,5.22535038145444,4.11603848459891,5.8315480953968,6.841345550384389,9.19528500555822,3.5430717504969595,0.0,8.809208785306081,0.0,0.916895227740085,0.0,0.0,11.271038945006303,0.0,8.84028878743345,0.0,0.0,5.0036773440815185,0.0,7.8737919780975,7.06831780757317,7.414618557135321,9.58440800507923,6.44527361663604,6.02102294361343,5.5869607238829895,0.0,0.0
