,Gene1,Gene2
1279,GATA6,RGS5
1286,GATA6,COLEC12
1288,GATA6,BTBD10
1292,GATA6,ST8SIA1
1295,GATA6,CALB1
1299,GATA6,ALPK2
1910,NANOG,OTX2
1913,NANOG,CER1
1914,NANOG,AK4
1920,NANOG,SFRP2
1923,NANOG,RGS5
1925,NANOG,ST8SIA4
1928,NANOG,KLHL4
1930,NANOG,IFI16
1935,NANOG,IGDCC4
1938,NANOG,USP44
1961,NANOG,VIM
1987,NANOG,DKK1
1991,NANOG,ASNS
1995,NANOG,EPCAM
1999,NANOG,ESRP1
2011,NANOG,ENC1
2019,NANOG,ATG4C
2024,NANOG,PMAIP1
2034,NANOG,RHOBTB3
2039,NANOG,PROM1
2041,NANOG,PRDM1
2047,NANOG,NCAPG
2050,NANOG,MFAP4
2061,NANOG,PHLDA1
2067,NANOG,HAS2
2079,NANOG,ELMOD2
2087,NANOG,SEMA3E
2096,NANOG,ELL2
2098,NANOG,NUP35
2100,NANOG,KIF23
2108,NANOG,CYP1B1
2113,NANOG,GPR83
2128,NANOG,NDC80
2136,NANOG,GATM
2144,NANOG,SNX14
2148,NANOG,CLGN
2154,NANOG,CD9
2155,NANOG,CAMK2D
2162,NANOG,ACOX3
2163,NANOG,TDRD7
2165,NANOG,ZNF518B
2183,NANOG,COL4A1
2188,NANOG,PLOD2
2194,NANOG,LRRCC1
2237,NANOG,TIPIN
2250,NANOG,BTBD10
2293,OTX2,CD9
2302,OTX2,FLRT3
2308,OTX2,RND3
2317,OTX2,PLXNA2
2322,OTX2,TIPIN
2335,OTX2,CER1
2342,OTX2,ACOX3
2343,OTX2,NCAPG
2349,OTX2,PIP4K2A
2358,OTX2,ATG4C
2363,OTX2,KLHL4
2367,OTX2,PELI2
2371,OTX2,NANOG
2372,OTX2,RFPL2
2376,OTX2,ARL4D
2379,OTX2,GATM
2383,OTX2,CALB1
2384,OTX2,MCCC1
2389,OTX2,NUP35
2390,OTX2,SEMA3A
2396,OTX2,ELL2
2419,OTX2,PROM1
2426,OTX2,GPR83
2427,OTX2,ALG6
2434,OTX2,ENC1
2435,OTX2,STC1
2475,OTX2,ALPK2
2481,OTX2,COL5A2
2485,OTX2,LRRCC1
2487,OTX2,HAS2
2491,OTX2,KIF23
2501,OTX2,ST8SIA1
2504,OTX2,USP44
2507,OTX2,TSPAN12
2514,OTX2,RNF13
2516,OTX2,RGS5
2518,OTX2,DKK4
2524,OTX2,IFI16
2529,OTX2,CLDN11
2543,OTX2,BMP4
2546,OTX2,PLOD2
2550,OTX2,AK4
2551,OTX2,RHOBTB3
2559,OTX2,ST8SIA4
2561,OTX2,ESRP1
2563,OTX2,PTPRZ1
2566,OTX2,ZNF518B
2573,OTX2,DLC1
2574,OTX2,PIK3R5
2582,OTX2,QPCT
2587,OTX2,VIM
2683,PRDM1,RND3
2686,PRDM1,CER1
2687,PRDM1,CLGN
2688,PRDM1,SEMA3E
2689,PRDM1,ANGPT2
