,Gene1,Gene2
77,SIRT1,CDK6
82,SIRT1,ZEB1
83,ZEB1,SIRT1
488,NANOG,OTX2
489,OTX2,NANOG
492,NANOG,PROM1
493,NANOG,TBX3
494,TBX3,NANOG
507,NANOG,BMP4
508,BMP4,NANOG
511,NANOG,GATA6
512,GATA6,NANOG
527,NANOG,EOMES
528,EOMES,NANOG
620,ELL2,MLLT3
621,MLLT3,ELL2
848,BMP4,OTX2
849,OTX2,BMP4
852,BMP4,WNT5A
853,BMP4,TBX3
854,TBX3,BMP4
862,BMP4,BMPER
873,BMP4,BMP2
874,BMP2,BMP4
881,BMP4,FBN1
882,BMP4,EOMES
883,EOMES,BMP4
889,BMP4,DKK1
890,BMP4,CER1
891,BMP4,PENK
1089,TBX3,GATA6
1090,GATA6,TBX3
1449,ZEB1,EPCAM
2161,MYOCD,ACTC1
2252,BMP2,BMPER
3143,OTX2,DKK1
3379,ZEB1,ESRP1
3382,ZEB1,ZEB2
3383,ZEB2,ZEB1
3386,ZEB1,VIM
3538,CNTRL,CEP55
3885,BMP2,CER1
3960,NFIB,POLR3G
4244,ZEB2,VIM
