TF	Target	EdgeWeight
CTNNB1	ALYREF	0.017948873341083527
CTNNB1	TP53	0.017299748957157135
CTNNB1	SOX4	0.017158761620521545
CTNNB1	SKIL	0.017128653824329376
POU5F1	SEMA6A	0.01709296740591526
POU5F1	TLR7	0.017045823857188225
CTNNB1	FZD5	0.01700981892645359
CTNNB1	SFRP1	0.017007160931825638
CTNNB1	CTBP1	0.016989385709166527
CTNNB1	PIP4K2A	0.01696479134261608
POU5F1	DMBX1	0.0169528815895319
POU5F1	EPCAM	0.016910819336771965
POU5F1	ID1	0.016821498051285744
CTNNB1	ABCA1	0.01678146980702877
POU5F1	SLC39A8	0.016757721081376076
POU5F1	BMPR1A	0.01675582490861416
POU5F1	NANOG	0.016714120283722878
POU5F1	MAFF	0.016711825504899025
POU5F1	CIITA	0.016650782898068428
POU5F1	FUS	0.016650523990392685
POU5F1	CLDN10	0.016610076650977135
POU5F1	SFRP2	0.0166074950248003
POU5F1	TAF1L	0.016570329666137695
CTNNB1	SRSF6	0.0165480375289917
TP53	CTNNB1	0.01653147116303444
POU5F1	CRX	0.016527531668543816
CTNNB1	AK4	0.016504166647791862
POU5F1	SPIB	0.01650022715330124
POU5F1	LIN28A	0.0164546687155962
POU5F1	ASB4	0.016433032229542732
CTNNB1	ZIC2	0.016430333256721497
POU5F1	ID3	0.016415264457464218
POU5F1	MSANTD3-TMEFF1	0.016378328204154968
CTNNB1	HMGN2	0.016352085396647453
POU5F1	SLA2	0.016345178708434105
POU5F1	GABRB3	0.01634267531335354
CTNNB1	STAT2	0.016331514343619347
POU5F1	MRS2	0.016325298696756363
CTNNB1	CLDN11	0.01631256192922592
POU5F1	LMX1B	0.01629401370882988
CTNNB1	MDM4	0.0162926334887743
CTNNB1	HNRNPK	0.01628844253718853
CTNNB1	IGDCC4	0.016286391764879227
POU5F1	CD9	0.016252798959612846
POU5F1	FST	0.016250306740403175
TRIM28	KHSRP	0.016247224062681198
POU5F1	ETV1	0.01623675227165222
CTNNB1	PDGFA	0.016234423965215683
CTNNB1	PTMA	0.01622053049504757
POU5F1	ZFP42	0.016216419637203217
CTNNB1	FAM117B	0.016211628913879395
CTNNB1	DNMT3A	0.016200942918658257
CTNNB1	CBX3	0.01618262752890587
CTNNB1	LIN28A	0.016181383281946182
CTNNB1	RBMX	0.016177186742424965
POU5F1	GATA3	0.016150427982211113
CTNNB1	APBB2	0.016137227416038513
POU5F1	GCM1	0.0161177646368742
POU5F1	SP100	0.016097085550427437
POU5F1	ZNF585B	0.016090497374534607
POU5F1	ETV4	0.01608014851808548
POU5F1	ZNF589	0.016078922897577286
CTNNB1	POLR2A	0.016073331236839294
TP53	ALYREF	0.016072070226073265
POU5F1	HCFC1	0.016059493646025658
POU5F1	HNRNPK	0.016057100147008896
POU5F1	NLGN4X	0.016041358932852745
POU5F1	ZHX3	0.016019463539123535
CTNNB1	PRDM1	0.016017448157072067
EOMES	WLS	0.016013253480196
POU5F1	GAD1	0.015992101281881332
EOMES	MSX1	0.01598212867975235
POU5F1	RAX2	0.015979841351509094
CTNNB1	SRSF3	0.015977803617715836
POU5F1	REL	0.01594582572579384
CTNNB1	FUBP1	0.015926523134112358
CTNNB1	NONO	0.01590869016945362
CTNNB1	DPYSL3	0.01590769924223423
POU5F1	MDM4	0.015895135700702667
CTNNB1	TCF7L1	0.01589428447186947
CTNNB1	AGL	0.01589180901646614
POU5F1	HLA-DQB1	0.015882441774010658
POU5F1	ALS2CR8	0.01587812975049019
CTNNB1	ZNF521	0.01587674207985401
POU5F1	ODC1	0.01587459072470665
POU5F1	PHC1	0.015874415636062622
POU5F1	KAL1	0.015873698517680168
CTNNB1	LRAT	0.015847904607653618
POU5F1	MLLT6	0.015845872461795807
CTNNB1	TRIM28	0.015840349718928337
POU5F1	SHOX	0.015822866931557655
POU5F1	SF1	0.015818217769265175
CTNNB1	KHSRP	0.015810295939445496
POU5F1	AK4	0.015801899135112762
POU5F1	AGPAT5	0.015798894688487053
EOMES	FST	0.01577366702258587
CTNNB1	HIF1A	0.015766046941280365
POU5F1	BAMBI	0.015738870948553085
POU5F1	SLC35F1	0.01573566347360611
POU5F1	E2F4	0.01573375053703785
CTNNB1	NANOG	0.015730705112218857
CTNNB1	PSIP1	0.01571972854435444
POU5F1	YAF2	0.01571827009320259
CTNNB1	NPM1	0.015717115253210068
POU5F1	NTS	0.015716832131147385
POU5F1	ASNS	0.0157150998711586
POU5F1	MIF	0.01571281999349594
POU5F1	BTF3	0.01570800691843033
TRIM28	ARID3A	0.015705060213804245
CTNNB1	DDAH1	0.0156900305300951
POU5F1	HMGA1	0.015679925680160522
POU5F1	FOXN3	0.015676764771342278
POU5F1	PTPRZ1	0.01566944271326065
POU5F1	KAT7	0.015661466866731644
POU5F1	ARHGAP29	0.015658898279070854
CTNNB1	HCFC1	0.01565689407289028
POU5F1	CYP1B1	0.01565234735608101
POU5F1	MED14	0.015641873702406883
CTNNB1	NAA15	0.015618148259818554
POU5F1	ANKRD28	0.015616117976605892
POU5F1	EWSR1	0.015616040676832199
JUND	ARID3A	0.015615923330187798
POU5F1	TRAPPC8	0.015610363334417343
POU5F1	CTNNB1	0.01560367364436388
CTNNB1	SYNC	0.01560137514024973
CTNNB1	PHLDA1	0.01558504719287157
CTNNB1	NLGN4X	0.015581544488668442
TRIM28	HCFC1	0.015581394545733929
CTNNB1	DUSP4	0.015563875436782837
POU5F1	SRSF2	0.015562625601887703
POU5F1	ITM2A	0.0155623909085989
POU5F1	SOX13	0.015562018379569054
CTNNB1	SRSF1	0.015559755265712738
POU5F1	ZNF107	0.015559429302811623
CTNNB1	POU2F1	0.015551094897091389
POU5F1	HIST1H1B	0.015539657324552536
POU5F1	STAT2	0.015537351369857788
POU5F1	SORL1	0.015535620972514153
POU5F1	TRAF6	0.015530137345194817
TRIM28	ARID3B	0.015518153086304665
POU5F1	RAD51	0.01551581546664238
POU5F1	AEBP1	0.015510395169258118
POU5F1	RRAS2	0.015506739728152752
POU5F1	SALL3	0.01550624705851078
POU5F1	HDGF	0.015501528978347778
CTNNB1	H1F0	0.015493934042751789
EOMES	SLCO2A1	0.015491642989218235
CTNNB1	AES	0.015488650649785995
POU5F1	HRSP12	0.015473693609237671
POU5F1	CBFA2T2	0.01546633243560791
CTNNB1	MED16	0.01546378992497921
POU5F1	KIF21A	0.015462308190762997
CTNNB1	STC1	0.015461767092347145
CTNNB1	POLR2D	0.015458864159882069
POU5F1	HIF3A	0.01545707043260336
POU5F1	AFF4	0.01543966494500637
CTNNB1	GLMN	0.015437120571732521
CTNNB1	EWSR1	0.015436758287250996
POU5F1	TRIP6	0.015435462817549706
POU5F1	TP53	0.015434703789651394
POU5F1	SNAPC3	0.015431349165737629
POU5F1	FOXJ2	0.015431330539286137
POU5F1	ZNF160	0.01543058268725872
CTNNB1	SEMA3A	0.015429958701133728
